"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"CLUG_05787",75097.9794492987,4.55333942141422,0.823719142033355,5.52778148407998,3.24305631547844e-08,4.86287760147267e-06,"CLUG_05787 (INO1)"
"CLUG_03835",2296.52754635135,1.95147819313126,0.151992543204036,12.8393021920265,9.87606341725779e-38,6.25264548350388e-35,"CLUG_03835 (SFU1)"
"CLUG_02695",5300.23479253158,1.76966637277011,0.2720439586052,6.50507506890939,7.7654591533815e-11,1.63879949096177e-08,"CLUG_02695"
"CLUG_01196",367.178588479969,1.44206077288687,0.121389337975105,11.8796328980936,1.51029164784011e-32,6.61972446876382e-30,"CLUG_01196 (CCC1)"
"CLUG_01195",166.38557454495,1.38146316932082,0.21358672158413,6.46792627872546,9.93569462009474e-11,2.02191385518928e-08,"CLUG_01195"
"CLUG_02782",8131.63909184619,1.21538501852773,0.208158131717226,5.83875829640313,5.25913002249928e-09,8.81368319652968e-07,"CLUG_02782 (ITR1)"
"CLUG_00811",6253.43035224712,-1.02628402846835,0.263934694676783,-3.88840137036604,0.000100906659687384,0.00787624858765365,"CLUG_00811"
"CLUG_01649",4928.48896772298,-1.02631943803191,0.307964450300316,-3.33259061892073,0.000860414450065914,0.0485410053116394,"CLUG_01649 (PUT1)"
"CLUG_03999",1211.2564339895,-1.03606577455983,0.110409935034586,-9.38380929429298,6.36313155144368e-21,2.26607022375788e-18,"CLUG_03999"
"CLUG_00074",169.912825806372,-1.03618787228121,0.250600143110573,-4.13482554087772,3.55224383291418e-05,0.00302099781491717,"NA"
"CLUG_03792",8053.34571591116,-1.06328856558047,0.228222012539319,-4.65900967987164,3.17734263088665e-06,0.000354990162956709,"CLUG_03792 (GCV1)"
"CLUG_01147",14069.0929217844,-1.14732164588726,0.202044589861991,-5.67855663282522,1.35836061033846e-08,2.14998298825237e-06,"CLUG_01147 (ADE13)"
"CLUG_03727",146.757440892294,-1.28207511296663,0.375168700964922,-3.41732961643436,0.000632386640004992,0.038745581448908,"NA"
"CLUG_02445",1677.11619762424,-1.2953585841455,0.284387856157919,-4.55490118898112,5.24102084652949e-06,0.000553024755250463,"CLUG_02445 (ISU1)"
"CLUG_02904",509.451246651085,-1.30522305189903,0.278377478720674,-4.68868048484878,2.74972333159964e-06,0.000319753541703158,"CLUG_02904 (DAC1)"
"CLUG_03968",440.148240273001,-1.33317449879194,0.179267894647815,-7.43677221964962,1.03175228960206e-13,2.79948787912026e-11,"NA"
"CLUG_05620",55.2705870384177,-1.3461550367462,0.390580609819824,-3.44654855592341,0.000567796520098527,0.0359478285724601,"NA"
"CLUG_04092",899.347893993927,-1.37606030274857,0.148723096906953,-9.25249898211498,2.19304287488836e-20,7.35056370653758e-18,"CLUG_04092 (ECM38)"
"CLUG_05334",2131.14669576435,-1.43634667769906,0.157352184120914,-9.12822841146791,6.96293478456309e-20,2.20415568902447e-17,"CLUG_05334 (CCC2)"
"CLUG_04997",1027.14511171694,-1.43887875783939,0.151039305044332,-9.5265186596102,1.62646158816318e-21,6.17838541956921e-19,"CLUG_04997"
"CLUG_05333",441.826056722627,-1.49363382052008,0.239828724305019,-6.22791879850243,4.72671923925984e-10,9.28718835355261e-08,"CLUG_05333 (CCC2)"
"CLUG_04288",299.419353046168,-1.50297301511529,0.333200005493064,-4.51072326031693,6.46069625305642e-06,0.000669328131816645,"CLUG_04288"
"CLUG_04909",6895.89679637987,-1.58847474645927,0.257726994017135,-6.16340074316649,7.11990146290291e-10,1.3086838237297e-07,"CLUG_04909 (PHO84)"
"CLUG_05608",50.6243928482031,-1.60566122681573,0.328779639546534,-4.88370030769034,1.04113279686883e-06,0.000134826697194514,"CLUG_05608"
"CLUG_02526",4688.09989091595,-1.66396106293291,0.133347128268328,-12.4784169298689,9.79140321611533e-36,5.07194686594774e-33,"CLUG_02526 (MRS4)"
"CLUG_02527",9443.20100940238,-1.70103709101389,0.13376531437501,-12.7165782771238,4.78352622842311e-37,2.72565324495549e-34,"CLUG_02527 (GOR1)"
"CLUG_00549",3782.02863636274,-1.7418224295751,0.219345736312856,-7.94099059710335,2.00572882300042e-15,6.01507517550338e-13,"CLUG_00549"
"CLUG_00179",7463.32353498071,-1.74329744382871,0.32985637678295,-5.28501968290223,1.25691242303252e-07,1.79047174660982e-05,"CLUG_00179 (GCV2)"
"CLUG_03762",1486.18553840743,-1.81619017240783,0.293032274789605,-6.19791855252751,5.72147326740353e-10,1.08669848925551e-07,"CLUG_03762 (SEF2)"
"CLUG_03427",180.612205998501,-1.83466499129574,0.313189138394466,-5.85800963820449,4.68447470783722e-09,8.0885263288656e-07,"CLUG_03427 (SOD6)"
"CLUG_02779",366.305464900837,-2.23813286080111,0.197415936511716,-11.3371438007907,8.59025008617718e-30,3.49623178507411e-27,"CLUG_02779"
"CLUG_03760",5497.56077049559,-2.32896861486054,0.355014326113802,-6.5602102325132,5.37319706507346e-11,1.17755680295341e-08,"CLUG_03760 (HAK1)"
"CLUG_01845",2563.53618083836,-2.37518227934801,0.321760577499307,-7.38183122931872,1.56127027863324e-13,4.0436900216601e-11,"CLUG_01845"
"CLUG_04097",102.480865858993,-2.86877049396093,0.428125146419953,-6.70077550442906,2.07316333107448e-11,4.72515386418495e-09,"CLUG_04097 (RBT5)"
"CLUG_02715",1602.31902385245,-3.04577258295411,0.165659888436269,-18.3856974171865,1.71026118413274e-75,2.43626705679708e-72,"CLUG_02715 (HAP43)"
"CLUG_03219",315.908810341703,-3.11684098146741,0.19998316016178,-15.5855171952777,9.13212390015189e-55,1.04069683966131e-51,"CLUG_03219"
"CLUG_02780",235.725834230823,-3.30959325050732,0.43059711116757,-7.68605539766235,1.51740823944337e-14,4.32309607417416e-12,"CLUG_02780 (FTH1)"
"CLUG_00820",417.472297214118,-3.32190560339038,0.226342626168444,-14.6764472058313,9.12477330325441e-49,7.42756546884909e-46,"CLUG_00820 (AFG1)"
"CLUG_01670",2543.62143988223,-3.69324094277563,0.238966820256093,-15.4550365561951,6.9771994138175e-54,6.62601370998869e-51,"CLUG_01670 (SIT1)"
"CLUG_04748",19583.3799241068,-4.3818110681308,0.193509611224679,-22.6438937084277,1.6024471497132e-113,4.5653719295329e-110,"CLUG_04748 (FTR1)"
"CLUG_01565",10050.7399048017,-5.04155908973021,0.143284695912208,-35.1856076298562,3.31956407169596e-271,1.89148760805236e-267,"CLUG_01565 (FET33)"
"CLUG_02778",620.187608421789,-5.49844341845121,0.289193424014115,-19.0130305943016,1.33039769918846e-80,2.52686869665861e-77,"CLUG_02778"
"CLUG_02348",442.686381460674,-5.50830233720056,0.453975862256813,-12.1334696294591,7.02103481891253e-34,3.33382136651363e-31,"CLUG_02348"
"CLUG_04344",11475.4585815519,-5.67043667447894,0.411986326738384,-13.7636525934506,4.21672680536527e-43,3.00336366712142e-40,"CLUG_04344"
